STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
56007099999,AMDO NORTHEAST,1962-01-04,1962-03-31,null,CH,33.417,92.833,4648
42937099999,AMRAOTI,2017-10-01,2020-04-07,null,IN,20.9333333,77.7833333,370
42071099999,AMRITSAR,1973-01-01,2020-04-07,null,IN,31.709594,74.797264,230.42
31550099999,AMURSK,1985-02-12,1993-06-30,null,RS,50.267,136.917,24
31187099999,AMURSKAYA NORTH,1959-09-24,1959-12-31,null,RS,55.2,126.383,630
58648099999,AN-REN,1981-12-20,1981-12-20,null,CH,28.05,119.333,274
52424099999,AN-XI,1957-07-01,1998-02-23,null,CH,40.5,96,1177
35286099999,ANAR,1953-06-04,1980-02-16,null,KZ,50.617,72.433,437
36817099999,ANARKHAY,1959-01-02,2020-04-07,null,KZ,43.983,75.083,830
29674099999,ANASTASINO,2013-01-30,2013-07-31,null,RS,55.1166666,93.3833333,458.16
50854099999,ANDA,1956-08-20,2020-04-07,null,CH,46.3833333,125.3166666,150
51848099999,ANDIR,1962-03-28,1998-12-31,null,CH,37.933,83.65,1264
38475099999,ANDIZHAN AIRPORT,1973-01-08,2020-03-03,null,UZ,40.7333333,72.3333333,477
47136099999,ANDONG,1983-02-03,2020-04-07,null,KS,36.5666666,128.7,141.59
30715099999,ANGARSK,1996-09-02,2001-05-22,null,RS,52.4833333,103.85,437
47050099999,ANJU,1976-04-02,2020-04-07,null,KN,39.6166666,125.65,27
57245099999,ANKANG,1956-08-20,2020-04-07,null,CH,32.7166666,109.0333333,291
47132099999,ANMYEONDO,1951-01-31,1991-08-18,null,KS,36.5166666,126.3166666,43
58424099999,ANQING,1956-08-20,2020-04-07,null,CH,30.6166666,116.9666667,63.2
54339099999,ANSHAN,1957-12-02,2002-06-15,null,CH,41.133,122.983,17
57806099999,ANSHUN,1961-12-31,1999-02-02,null,CH,26.267,105.967,1402
31981099999,ANUCINO,1953-02-20,2020-04-07,null,RS,43.9666666,133.0666666,188
57574099999,ANXIANG,1959-11-01,1999-12-23,null,CH,29.433,112.183,28
53898099999,ANYANG,1957-12-02,2020-04-07,null,CH,36.05,114.1333333,195.7
29540099999,ANZERO-SUDZENSK,1953-03-04,1990-12-07,null,RS,56.117,86,259
38719099999,ANZQBSKIJ PEREVAL,1973-02-27,2020-04-07,null,TI,39.0833333,68.8666666,3373
74933899999,AO-CHIA-CHANG NORTH,1945-01-31,1945-08-31,null,CH,31.117,104,500
47542099999,AOMORI,1973-04-01,2020-04-07,null,JA,40.734722,140.690833,202.38
47575099999,AOMORI,1973-01-01,2020-04-07,null,JA,40.8166666,140.7666666,4.06
47451099999,AONAE (LGT-H),1973-02-05,1984-06-21,null,JA,42.05,139.45,16
54498099999,APPROXIMATE LOCALE,1979-06-19,1982-02-14,null,CH,40.117,124.333,0
52268099999,APPROXIMATE LOCALE,1980-09-16,1981-02-10,null,CH,42.083,101.667,0
52523099999,APPROXIMATE LOCALE,1980-11-27,1981-06-09,null,CH,39.833,96.75,0
57150099999,APPROXIMATE LOCALE,1979-12-28,1980-12-30,null,CH,33.483,110.433,0
57278099999,APPROXIMATE LOCALE,1981-01-17,1982-04-22,null,CH,32.317,112.633,0
57026099999,APPROXIMATE LOCALE,1979-06-12,1981-11-26,null,CH,34.483,107.95,0
53745099999,APPROXIMATE LOCALE,1976-01-19,1982-06-27,null,CH,37.467,109.583,0
52886099999,APPROXIMATE LOCALE,1974-03-01,1984-11-29,null,CH,36.567,103.7,1951
52958099999,APPROXIMATE LOCALE,1974-09-18,1982-01-23,null,CH,35.267,100.65,0
52947099999,APPROXIMATE LOCALE,1984-08-11,1985-02-06,null,CH,35.167,98.75,0
57982099999,APPROXIMATE LOCALE,1975-08-18,1985-04-12,null,CH,25.833,113.5,0
57367099999,APPROXIMATE LOCALE,1974-12-02,1974-12-02,null,CH,31.167,111.167,0
57445099999,APPROXIMATE LOCALE,1974-02-10,1974-05-02,null,CH,30.6,109.533,0
59311099999,APPROXIMATE LOCALE,1974-07-16,1975-10-19,null,CH,23.767,116.017,0
59327099999,APPROXIMATE LOCALE,1984-03-11,1986-01-03,null,CH,23.167,117.167,0
59505099999,APPROXIMATE LOCALE,1984-05-04,1986-10-08,null,CH,22.5,115.5,0
57716099999,APPROXIMATE LOCALE,1980-09-26,1982-10-17,null,CH,27.5,106.833,914
57765099999,APPROXIMATE LOCALE,1980-10-03,1988-12-02,null,CH,27.5,111.5,0
56681099999,APPROXIMATE LOCALE,1981-04-10,1981-12-27,null,CH,26.833,103.167,0
57913099999,APPROXIMATE LOCATIO,1981-11-24,1981-12-29,null,CH,25.833,106.833,0
54757099999,APPROXIMATE LOCATIO,1977-08-29,1981-02-09,null,CH,37.167,120.167,0
58529099999,APPROXIMATE LOCATIO,1980-12-25,1980-12-25,null,CH,29.167,117.833,0
58732099999,APPROXIMATE LOCATIO,1980-11-06,1981-09-19,null,CH,27.833,118.5,0
57802099999,APPROXIMATE LOCATIO,1980-11-19,1982-07-30,null,CH,26.833,105.5,0
51705099999,AR-TUX,1956-08-21,1997-05-13,null,CH,39.667,76.167,1494
36457099999,ARGAMJI,1961-03-04,1982-09-30,null,RS,49.283,87.917,2280
31594099999,ARHARA,1947-09-28,2020-04-07,null,RS,49.4166666,130.0833333,135
38623099999,ARPA,1961-01-27,1962-08-16,null,KG,40.783,74.767,2865
31938199999,ARSENJEV,1955-05-04,1956-08-31,null,RS,44.2,133.333,171
31974099999,ARTEM,1953-02-18,1987-07-01,null,RS,43.367,132.167,46
29772099999,ARTEMOVSK,1953-03-12,2020-04-07,null,RS,54.3666666,93.4333333,479.28
30406099999,ARTUMEJ,1977-01-03,1994-12-30,null,RS,55.617,102.317,448
44288099999,ARVAIHEER,1957-03-24,2020-04-07,null,MG,46.2666666,102.7833333,1813
50727099999,ARXAN,1956-08-22,2020-04-07,null,CH,47.1666666,119.9333333,997
35284099999,ARYKTY,1981-01-01,2020-04-07,null,KZ,50.633,70.55,320
38316099999,ARYS,1959-01-04,2020-04-06,null,KZ,42.433,68.8,240
47407099999,ASAHIKAWA,1953-01-01,2020-04-07,null,JA,43.75,142.3666666,140
47477099999,ASAHIKAWA,1973-01-04,2020-04-07,null,JA,43.795181,142.363136,114.9
38196099999,ASHCHYSAI,1974-03-21,2020-04-07,null,KZ,43.55,68.9,822
47803099999,ASHIYA,1945-12-31,2020-04-07,null,JA,33.883083,130.653,29.87
31978099999,ASKOLID ISLAND SOUTH,1959-01-31,1960-12-11,null,RS,42.733,132.35,60
47821099999,ASOSAN,1953-01-01,2017-12-11,null,JA,32.8833333,131.0666666,1144.4
36897099999,ASSI,1958-01-25,2020-04-07,null,KZ,43.317,78.25,2216
35188099999,ASTANA INTL,1934-01-15,2020-04-07,null,KZ,51.022222,71.466944,355.09
31588099999,ASTASHIKNA,1946-08-01,1957-12-15,null,RS,49.483,129.467,125.9
31586099999,ASTASIHA,1946-08-01,1993-06-27,null,RS,49.483,129.483,126
41520099999,ASTORE,2005-10-01,2019-10-15,null,PK,35.3666666,74.9,2168
31921099999,ASTRAHANKA,1953-02-20,2020-04-07,null,RS,44.7166666,132.0666666,78
35582099999,ATASU,1959-01-04,1998-03-31,null,KZ,48.7,71.633,488
35078099999,ATBASAR,1948-01-04,2020-04-07,null,KZ,51.8166666,68.3666666,304
69531499999,ATSUGI (NPMOD),2000-03-15,2000-03-15,null,JA,35.45,139.45,63
47679099999,ATSUGI NAS,1945-09-02,2014-06-09,null,JA,35.45,139.45,65
47679043319,ATSUGI US NAVAL AIR STATION,1945-09-02,2020-04-07,null,JA,35.454611,139.450167,62.48
36744099999,AUL,1957-07-02,1998-10-07,null,KZ,45.633,75.117,353
38334099999,AUL TURARA RYSKULOVA,1959-01-04,2020-04-07,null,KZ,42.4833333,70.3,808
43014099999,AURANGABAD,1973-01-01,2020-04-07,null,IN,19.863169,75.398206,582.47
43013099999,AURANGABAD,1957-07-01,1962-12-31,null,IN,19.8833333,75.3333333,579
31372099999,AYAK (?),1955-01-09,1969-01-31,null,RS,52.8,127.783,196
36819099999,AYDARLI,1959-01-02,2020-04-07,null,KZ,44.133,75.85,499
42381099999,AZAMGARH,1977-08-09,1978-01-04,null,IN,26.05,83.2166666,78
52657099999,BABAO,1962-03-28,1997-05-13,null,CH,38.233,100.25,2700
30822099999,BABUSKIN,1953-02-20,2020-04-07,null,RS,51.7166666,105.85,467
48810099999,BAC CAN,1959-05-20,2020-04-07,null,VM,22.15,105.8333333,176
51716099999,BACHU,1956-08-21,2020-04-07,null,CH,39.8,78.5666666,1117
41785099999,BADIN,1973-01-05,2020-04-07,null,PK,24.6333333,68.9,10
47124399999,BAEGADO,1989-03-01,1989-12-23,null,KS,37.083,125.967,-999
47102099999,BAENGNYEONGDO,2001-09-16,2020-04-07,null,KS,37.966099,124.630447,36
47103099999,BAENGNYEONGDO AB,1951-09-16,2020-04-06,null,KS,37.9333333,124.6666666,171
29827099999,BAEVO,1955-08-21,2020-04-07,null,RS,53.2666666,80.7666666,122
30554099999,BAGDARIN,1948-01-03,2020-04-07,null,RS,54.4833333,113.5833333,995
42398099999,BAGDOGRA,1957-07-01,2019-11-05,null,IN,26.681206,88.328567,125.57
30803099999,BAGO-GORHON,1975-06-05,1997-05-17,null,RS,51.7,102.45,889
69728499999,BAGRAM,2001-06-15,2015-03-03,null,AF,34.944,69.259,1492
69128499999,BAGRAM AIRFIELD,2000-02-03,2014-08-11,null,AF,34.9333333,69.25,1492
41678099999,BAHAWALNAGAR,1973-01-20,2020-04-06,null,PK,29.95,73.25,163
41701099999,BAHAWALPUR,2015-12-14,2019-10-11,null,PK,29.4,71.7833333,117
41700099999,BAHAWALPUR CITY,1975-08-14,2020-04-07,null,PK,29.4,71.7833333,112
74926199999,BAHE,1945-02-11,1945-02-28,null,BM,23.383,96.567,126
42273099999,BAHRAICH,1973-01-02,2020-04-07,null,IN,27.5666666,81.6,124
36736099999,BAHTY,1948-02-01,2020-04-07,null,KZ,46.65,82.75,441
